Feature,Coefficient,Odds Ratio
categorical__Number of vessels fluro_0,-1.184802041328614,0.30580671059731696
categorical__Thallium_Normal,-1.114610415747224,0.328043054416541
numerical__Max HR,-0.8310232564442183,0.4356033242849864
categorical__Chest pain type_Typical Anginia,-0.8032652270378039,0.4478641957367884
categorical__Exercise angina_No,-0.5491123472437232,0.5774621688344596
categorical__Sex_Female,-0.4870023066571963,0.6144656155814621
categorical__Slope of ST_Flat,-0.41374667096448386,0.6611684232112295
categorical__Chest pain type_Atypical Anginia,-0.33246367823385103,0.7171547167168439
categorical__Chest pain type_Non-Anginal pain,-0.22207326314597262,0.8008566889048098
categorical__EKG results_Normal,-0.14982237775933713,0.8608608708827129
categorical__Number of vessels fluro_1,-0.11837252844806388,0.8883650497111633
categorical__EKG results_ST-T wave abnormality,-0.038821475338326514,0.9619224206932482
numerical__BP,0.004656132615370933,1.0046669892442648
categorical__FBS over 120_Greater than 120 mgdL,0.013763838421398982,1.0138589961226439
categorical__FBS over 120_Less than 120 mgdL,0.06668341522607987,1.068957009087295
numerical__Cholesterol,0.10077649982667991,1.1060294163707376
categorical__EKG results_Left ventricular hypertrophy,0.2690911067453301,1.308774373788498
categorical__Thallium_Fixed Defect,0.353953765985469,1.424689315850637
numerical__Age,0.3542568309754746,1.4251211547382252
numerical__ST depression,0.44407438557438855,1.5590464518745748
categorical__Slope of ST_Downsloping,0.4941939246117328,1.6391764066219137
categorical__Sex_Male,0.56744956030504,1.7637629391293819
categorical__Exercise angina_Yes,0.6295596008912603,1.8767838632945248
categorical__Number of vessels fluro_2,0.6869298867774629,1.9876039871920783
categorical__Number of vessels fluro_3,0.6966919366469071,2.0071020923297755
categorical__Thallium_Reversible Defect,0.8411039034077794,2.3189254340654735
categorical__Chest pain type_Assymptomatic,1.4382494220655717,4.213313623469175
